Country,Subject Descriptor,2015,2016,2017,2018,2019,2020,Estimates Start After
Algeria,Unemployment rate,11.214,10.498,11.709,11.731,11.383,14.652,2019
Algeria,Population,39.963,40.836,41.721,42.578,43.424,43.851,2019
Algeria,General government revenue,30.544,28.614,32.04,33.38,32.316,30.128,2020
Algeria,General government total expenditure,45.811,41.665,38.581,37.805,37.895,36.868,2020
Algeria,General government net lending/borrowing,-15.267,-13.051,-6.541,-4.426,-5.579,-6.74,2020
Algeria,General government gross debt,8.733,20.438,26.808,38.256,46.208,51.324,2020
Algeria,Current account balance,-16.442,-16.542,-13.12,-9.645,-9.911,-12.677,2020
Argentina,"Gross domestic product, constant prices",2.731,-2.08,2.819,-2.617,-2.026,-9.895,2020
Argentina,"Gross domestic product, current prices",642.464,556.774,643.861,524.431,451.815,389.064,2020
Argentina,"Gross domestic product, deflator",825.311,"1,164.67","1,467.56","2,084.43","3,145.86","4,400.78",2020
Argentina,"Gross domestic product per capita, constant prices","23,933.89","23,189.53","23,597.12","22,747.24","22,066.10","19,685.74",2010
Argentina,Total investment,17.071,17.663,18.213,16.614,14.917,17.913,2020
Argentina,Gross national savings,14.328,14.95,13.375,11.449,14.097,18.765,2020
Argentina,"Inflation, average consumer prices",168,168.27,211.473,283.959,436.015,619.207,2021
Argentina,Volume of imports of goods and services,2.644,3.568,14.235,-5.591,-21.107,-10.722,2021
Argentina,Volume of exports of goods and services,-1.633,6.807,-0.132,-0.264,12.155,-13.124,2021
Argentina,Unemployment rate,6.533,8.467,8.35,9.2,9.825,11.55,2020
Argentina,Population,43.132,43.59,44.045,44.495,44.939,45.388,2010
Argentina,General government revenue,35.366,34.867,34.428,33.508,33.308,33.466,2021
Argentina,General government total expenditure,41.366,41.522,41.121,38.949,37.703,42.092,2021
Argentina,General government net lending/borrowing,-6.001,-6.655,-6.693,-5.441,-4.395,-8.626,2021
Argentina,General government gross debt,52.563,53.06,57.028,85.246,88.835,102.79,2021
Argentina,Current account balance,-2.743,-2.713,-4.838,-5.165,-0.821,0.852,2020
Armenia,"Gross domestic product, constant prices",3.254,0.195,7.518,5.225,7.631,-7.395,2021
Armenia,"Gross domestic product, current prices",10.553,10.546,11.527,12.458,13.619,12.641,2021
Armenia,"Gross domestic product, deflator",149.985,150.396,153.605,157.849,159.485,162.702,2021
Armenia,"Gross domestic product per capita, constant prices","11,074.41","11,087.77","11,974.03","12,644.05","13,637.87","12,631.53",2020
Armenia,Total investment,21.204,18.016,18.422,22.4,17.409,18.532,2021
Armenia,Gross national savings,18.519,17.002,16.901,15.369,10.05,14.746,2021
Armenia,"Inflation, average consumer prices",208.046,205.083,207.522,212.681,215.749,218.396,2021
Armenia,Volume of imports of goods and services,-9.819,6.342,22.152,13.181,13.339,-30.991,2020
Armenia,Volume of exports of goods and services,9.679,17.745,13.564,9.045,16.507,-35.571,2020
Armenia,Unemployment rate,18.5,18,17.8,19,18.3,18.1,2020
Armenia,Population,2.99,2.993,2.979,2.969,2.963,2.962,2020
Armenia,General government revenue,21.494,21.416,21.242,22.298,23.925,25.247,2020
Armenia,General government total expenditure,26.331,27.048,26.027,24.05,24.902,30.649,2020
Armenia,General government net lending/borrowing,-4.837,-5.632,-4.785,-1.752,-0.977,-5.403,2020
Armenia,General government gross debt,44.133,51.929,53.704,51.233,50.086,63.476,2020
Armenia,Current account balance,-2.685,-1.013,-1.521,-7.03,-7.359,-3.787,2020
Australia,"Gross domestic product, constant prices",2.31,2.701,2.378,2.77,1.995,-2.179,2021
Australia,"Gross domestic product, current prices","1,233.14","1,263.92","1,381.99","1,416.98","1,386.64","1,357.32",2021
Australia,"Gross domestic product, deflator",90.165,91.041,94.332,96.457,99.56,100.348,2021
Australia,"Gross domestic product per capita, constant prices","48,757.65","49,243.00","49,633.24","50,201.49","50,428.69","49,088.42",2020
Australia,Total investment,25.91,24.673,24.282,24.2,22.568,22.271,2021
Australia,Gross national savings,21.652,20.886,22.027,21.991,23.28,24.87,2021
Australia,"Inflation, average consumer prices",107.65,109.025,111.2,113.35,115.15,116.175,2021
Australia,Volume of imports of goods and services,2.259,0.144,7.753,4.323,-1.45,-13.014,2021
Australia,Volume of exports of goods and services,6.319,6.675,3.439,5.08,3.374,-9.822,2021
Australia,Unemployment rate,6.058,5.717,5.592,5.3,5.158,6.492,2021
Australia,Population,23.985,24.39,24.773,25.171,25.558,25.684,2020
Australia,General government revenue,34.599,34.941,35.144,35.732,34.642,36.09,2020
Australia,General government total expenditure,37.387,37.362,36.862,36.991,39.021,44.674,2020
Australia,General government net lending/borrowing,-2.788,-2.422,-1.718,-1.259,-4.379,-8.585,2020
Australia,General government gross debt,37.751,40.581,41.17,41.764,46.797,57.828,2020
Australia,Current account balance,-4.637,-3.277,-2.573,-2.14,0.606,2.595,2021
Austria,"Gross domestic product, constant prices",1.015,1.989,2.259,2.502,1.491,-6.735,2021
Austria,"Gross domestic product, current prices",382.01,395.728,417.114,455.374,445.061,432.912,2021
Austria,"Gross domestic product, deflator",100,101.848,102.872,104.726,106.425,108.886,2021
Austria,"Gross domestic product per capita, constant prices","53,273.47","53,647.68","54,393.57","55,315.31","56,303.64","52,262.89",2021
Austria,Total investment,23.806,24.256,24.838,25.723,25.404,25.901,2021
Austria,Gross national savings,25.531,26.981,26.213,26.627,27.496,27.8,2021
Austria,"Inflation, average consumer prices",121.512,122.693,125.43,128.089,130,131.81,2021
Austria,Volume of imports of goods and services,3.63,3.726,5.289,5.341,1.979,-9.377,2020
Austria,Volume of exports of goods and services,3.049,2.988,4.898,5.139,3.417,-10.759,2020
Austria,Unemployment rate,6.167,6.475,5.925,5.233,4.808,5.4,2021
Austria,Population,8.63,8.74,8.815,8.885,8.859,8.901,2021
Austria,General government revenue,49.981,48.537,48.483,48.909,49.176,48.749,2020
Austria,General government total expenditure,51.027,50.071,49.299,48.739,48.566,57.06,2020
Austria,General government net lending/borrowing,-1.046,-1.535,-0.816,0.17,0.61,-8.311,2020
Austria,General government gross debt,84.401,82.549,78.603,74.045,70.563,83.213,2020
Austria,Current account balance,1.725,2.724,1.374,0.904,2.092,1.899,2020
Azerbaijan,"Gross domestic product, constant prices",1.05,-3.064,0.154,1.5,2.48,-4.31,2021
Azerbaijan,"Gross domestic product, current prices",50.844,37.83,41.375,47.113,48.174,42.693,2021
Azerbaijan,"Gross domestic product, deflator",183.62,210.481,244.634,274.441,273.833,253.606,2021
Azerbaijan,"Gross domestic product per capita, constant prices","14,941.15","14,315.38","14,184.79","14,269.47","14,501.14","13,758.21",2021
Azerbaijan,Total investment,27.914,25.682,24.379,20.129,20.308,24.235,2021
Azerbaijan,Gross national savings,27.348,22.075,27.348,30.56,27.373,22.794,2021
Azerbaijan,"Inflation, average consumer prices",192.042,215.929,243.664,249.352,256.115,263.348,2021
Azerbaijan,Volume of imports of goods and services,12.365,17.165,-2.527,-2.813,-0.731,-9.744,2021
Azerbaijan,Volume of exports of goods and services,9.253,2.427,-7.196,1.413,2.314,-9.02,2021
Azerbaijan,Unemployment rate,4.958,5.043,4.961,4.944,4.848,7.157,2021
Azerbaijan,Population,9.593,9.706,9.81,9.898,9.982,10.067,2021
Azerbaijan,General government revenue,33.866,34.255,34.229,38.612,41.475,33.72,2021
Azerbaijan,General government total expenditure,38.678,35.407,35.537,33.078,32.366,40.242,2021
Azerbaijan,General government net lending/borrowing,-4.812,-1.152,-1.307,5.534,9.109,-6.523,2021
Azerbaijan,General government gross debt,17.98,20.608,22.509,18.685,17.656,21.327,2021
Azerbaijan,Current account balance,-0.438,-3.604,4.071,12.844,9.061,-0.533,2021
The Bahamas,"Gross domestic product, constant prices",1.59,0.091,1.625,2.767,0.703,-14.515,2020
The Bahamas,"Gross domestic product, current prices",11.891,11.993,12.36,12.838,13.164,9.908,2020
The Bahamas,"Gross domestic product, deflator",110.704,111.552,113.128,114.34,116.431,102.504,2020
The Bahamas,"Gross domestic product per capita, constant prices","37,012.78","36,637.41","36,821.57","37,422.49","37,269.26","31,507.94",2019
The Bahamas,Total investment,24.245,27.83,27.73,25.522,26.51,20.611,2020
The Bahamas,Gross national savings,11.813,15.55,13.994,16.18,23.782,-2.908,2020
The Bahamas,"Inflation, average consumer prices",101.878,101.542,103.065,105.402,108.028,108.07,2020
The Bahamas,Volume of imports of goods and services,-1.593,8.21,3.178,-3.183,-2.875,-24.173,2020
The Bahamas,Volume of exports of goods and services,-4.757,4.28,5.003,23.732,6.423,-68.074,2020
The Bahamas,Unemployment rate,13.379,12.15,10.1,10.35,10.1,25.55,2019
The Bahamas,Population,0.364,0.368,0.372,0.377,0.381,0.385,2019
The Bahamas,General government revenue,14.741,16.084,16.772,16.218,18.374,18.466,2021
The Bahamas,General government total expenditure,17.26,18.61,22.026,19.513,20.035,25.677,2021
The Bahamas,General government net lending/borrowing,-2.519,-2.526,-5.254,-3.295,-1.661,-7.21,2021
The Bahamas,General government gross debt,49.818,50.598,54.142,61.723,59.615,75.07,2021
The Bahamas,Current account balance,-12.433,-12.28,-13.736,-9.342,-2.728,-23.519,2020
Belgium,"Gross domestic product, constant prices",2.041,1.267,1.62,1.819,2.149,-5.66,2020
Belgium,"Gross domestic product, current prices",462.383,475.931,502.587,543.52,535.347,521.445,2020
Belgium,"Gross domestic product, deflator",100,101.921,103.786,105.363,107.211,108.588,2020
Belgium,"Gross domestic product per capita, constant prices","49,795.71","50,097.35","50,726.55","51,437.03","52,281.55","49,036.14",2020
Belgium,Total investment,23.628,24.252,24.456,25.369,24.965,24.161,2020
Belgium,Gross national savings,25.011,24.804,25.154,24.547,25.125,25.002,2020
Belgium,"Inflation, average consumer prices",99.999,101.769,104.033,106.437,107.766,108.227,2021
Belgium,Volume of imports of goods and services,1.086,5.507,-0.221,1.25,-0.477,-7.014,2020
Belgium,Volume of exports of goods and services,1.351,3.466,1.119,0.812,0.118,-6.493,2020
Belgium,Unemployment rate,8.675,7.933,7.158,6.033,5.442,5.733,2020
Belgium,Population,11.237,11.311,11.352,11.399,11.456,11.522,2020
Belgium,General government revenue,51.306,50.755,51.346,51.397,49.936,50.116,2020
Belgium,General government total expenditure,53.72,53.118,52.03,52.239,51.844,59.184,2020
Belgium,General government net lending/borrowing,-2.414,-2.363,-0.684,-0.842,-1.908,-9.068,2020
Belgium,General government gross debt,105.229,105.005,102.009,99.858,97.708,112.77,2020
Belgium,Current account balance,1.383,0.552,0.698,-0.822,0.16,0.84,2020
Bolivia,"Gross domestic product, constant prices",4.857,4.264,4.195,4.224,2.217,-8.738,2020
Bolivia,"Gross domestic product, current prices",33.241,34.189,37.782,40.581,41.193,36.897,2020
Bolivia,"Gross domestic product, deflator",535.793,528.534,560.57,577.703,573.699,563.061,2020
Bolivia,"Gross domestic product per capita, constant prices","8,013.70","8,233.76","8,456.07","8,688.55","8,757.26","7,882.11",2017
Bolivia,Total investment,20.281,21.057,22.22,20.596,19.875,15.778,2020
Bolivia,Gross national savings,14.216,15.407,16.052,16.123,14.163,12.47,2020
Bolivia,"Inflation, average consumer prices",93.218,96.596,99.323,101.579,103.447,104.422,2020
Bolivia,Volume of imports of goods and services,4.305,-7.962,4.679,3.012,-0.594,-23.841,2020
Bolivia,Volume of exports of goods and services,-22.575,-15.289,9.292,4.595,2.561,-18.824,2020
Bolivia,Unemployment rate,4,4,4,4,4,8.3,2020
Bolivia,Population,10.83,10.99,11.15,11.31,11.47,11.63,2017
Bolivia,General government revenue,37.686,32.686,30.774,28.951,28.845,25.26,2020
Bolivia,General government total expenditure,44.59,39.929,38.598,37.094,36.066,37.976,2020
Bolivia,General government net lending/borrowing,-6.904,-7.243,-7.824,-8.143,-7.221,-12.717,2020
Bolivia,General government gross debt,40.905,46.49,51.26,53.076,59.257,78.129,2020
Bolivia,Current account balance,-5.825,-5.579,-5.024,-4.251,-3.343,-0.382,2020
Bosnia and Herzegovina,"Gross domestic product, constant prices",3.088,3.146,3.176,3.74,2.831,-3.119,2020
Bosnia and Herzegovina,"Gross domestic product, current prices",16.21,16.91,18.081,20.184,20.203,19.951,2020
Bosnia and Herzegovina,"Gross domestic product, deflator",99.989,101.393,103.127,105.961,108.749,108.94,2020
Bosnia and Herzegovina,"Gross domestic product per capita, constant prices","12,391.99","12,807.28","13,240.39","13,767.02","14,177.04","13,750.52",2018
Bosnia and Herzegovina,Total investment,20.737,21.802,23.672,23.726,24.339,22.664,2020
Bosnia and Herzegovina,Gross national savings,15.641,17.046,18.829,20.447,21.54,18.897,2020
Bosnia and Herzegovina,"Inflation, average consumer prices",100,98.416,99.213,100.619,101.182,100.117,2020
Bosnia and Herzegovina,Volume of imports of goods and services,1.671,7.257,8.156,3.374,1.342,-13.308,2020
Bosnia and Herzegovina,Volume of exports of goods and services,9.751,9.448,12.447,6.559,0.501,-17.044,2020
Bosnia and Herzegovina,Unemployment rate,27.7,25.4,20.5,18.4,15.7,15.9,2020
Bosnia and Herzegovina,Population,3.518,3.511,3.504,3.496,3.491,3.487,2018
Bosnia and Herzegovina,General government revenue,43.004,42.309,42.339,42.681,41.859,41.276,2020
Bosnia and Herzegovina,General government total expenditure,43.201,41.963,40.525,41.025,40.472,45.956,2020
Bosnia and Herzegovina,General government net lending/borrowing,-0.197,0.346,1.814,1.656,1.387,-4.68,2020
Bosnia and Herzegovina,General government gross debt,45.531,44.081,37.947,34.271,32.526,36.533,2020
Bosnia and Herzegovina,Current account balance,-5.096,-4.756,-4.844,-3.279,-2.799,-3.768,2020
Brazil,"Gross domestic product, constant prices",-3.546,-3.276,1.323,1.784,1.221,-3.879,2020
Brazil,"Gross domestic product, current prices","1,800.05","1,796.62","2,063.52","1,916.93","1,873.29","1,448.55",2020
Brazil,"Gross domestic product, deflator",502.745,543.485,563.439,588.757,613.628,645.17,2020
Brazil,"Gross domestic product per capita, constant prices","15,137.90","14,522.03","14,596.87","14,736.81","14,799.45","14,117.32",2019
Brazil,Total investment,17.412,14.97,14.626,15.095,15.517,15.931,2020
Brazil,Gross national savings,14.368,13.607,13.558,12.411,12.045,14.24,2020
Brazil,"Inflation, average consumer prices","28,400,440,595,910.20","30,882,511,530,234.40","31,946,817,701,225.20","33,117,565,218,738.10","34,353,857,264,335.90","35,457,162,626,753.90",2021
Brazil,Volume of imports of goods and services,-13.531,-8.165,9.9,7.496,4.631,-8.64,2021
Brazil,Volume of exports of goods and services,8.755,4.264,5.19,3.428,-1.682,-1.367,2021
Brazil,Unemployment rate,8.625,11.65,12.85,12.375,11.975,13.775,2020
Brazil,Population,203.476,205.157,206.805,208.495,210.147,211.756,2019
Brazil,General government revenue,28.243,30.66,30.454,30.674,31.49,29.535,2020
Brazil,General government total expenditure,38.482,39.639,38.295,37.704,37.37,42.867,2020
Brazil,General government net lending/borrowing,-10.239,-8.979,-7.84,-7.03,-5.88,-13.332,2020
Brazil,General government gross debt,72.573,78.286,83.632,85.642,87.87,98.682,2020
Brazil,Current account balance,-3.044,-1.362,-1.068,-2.684,-3.471,-1.691,2020
Bulgaria,"Gross domestic product, constant prices",3.428,3.04,2.762,2.685,4.038,-4.387,2021
Bulgaria,"Gross domestic product, current prices",50.782,53.949,59.322,66.428,68.919,69.995,2021
Bulgaria,"Gross domestic product, deflator",100,103.322,108.292,112.876,118.787,123.779,2021
Bulgaria,"Gross domestic product per capita, constant prices","20,119.25","20,882.41","21,616.97","22,355.83","23,420.93","22,506.52",2020
Bulgaria,Total investment,20.993,18.954,19.806,21.214,20.998,20.34,2021
Bulgaria,Gross national savings,20.993,22.014,23.111,22.16,22.862,20.077,2021
Bulgaria,"Inflation, average consumer prices",99.998,98.676,99.848,102.476,104.994,106.274,2021
Bulgaria,Volume of imports of goods and services,4.698,5.151,7.356,5.763,5.22,-5.021,2021
Bulgaria,Volume of exports of goods and services,6.449,8.617,5.752,1.737,3.974,-10.585,2021
Bulgaria,Unemployment rate,9.233,7.666,6.23,5.273,4.275,5.207,2021
Bulgaria,Population,7.154,7.102,7.05,7,6.951,6.917,2020
Bulgaria,General government revenue,34.544,34.25,32.833,34.434,34.896,35.037,2021
Bulgaria,General government total expenditure,37.318,32.711,32.011,34.311,35.853,37.981,2021
Bulgaria,General government net lending/borrowing,-2.774,1.539,0.823,0.123,-0.957,-2.944,2021
Bulgaria,General government gross debt,25.351,26.995,22.906,20.066,18.307,23.304,2021
Bulgaria,Current account balance,3.05,3.061,3.305,0.946,1.865,-0.263,2021
Cabo Verde,"Gross domestic product, constant prices",1.007,4.706,3.702,4.531,5.668,-14.783,2020
Cabo Verde,"Gross domestic product, current prices",1.597,1.663,1.77,1.967,1.982,1.707,2020
Cabo Verde,"Gross domestic product, deflator",113.117,112.855,113.628,115.359,116.009,115.009,2020
Cabo Verde,"Gross domestic product per capita, constant prices","6,170.77","6,381.56","6,535.10","6,864.15","7,167.75","6,036.15",2018
Cabo Verde,Total investment,38.553,36.979,38.242,36.509,37.552,36.106,2020
Cabo Verde,Gross national savings,35.373,33.151,30.399,31.286,37.152,20.211,2020
Cabo Verde,"Inflation, average consumer prices",99.401,97.974,98.741,100,101.106,101.718,2020
Cabo Verde,Volume of imports of goods and services,-22.566,18.883,16.006,10.49,-3.488,-8.005,2019
Cabo Verde,Volume of exports of goods and services,-6.734,12.378,1.426,9.755,10.254,-53.215,2019
Cabo Verde,Unemployment rate,12.4,15,12.2,12.2,8.5,8.5,2018
Cabo Verde,Population,0.533,0.54,0.546,0.544,0.55,0.557,2018
Cabo Verde,General government revenue,26.892,26.606,28.599,28.23,29.4,26.53,2020
Cabo Verde,General government total expenditure,31.448,29.641,31.572,30.88,31.236,35.641,2020
Cabo Verde,General government net lending/borrowing,-4.555,-3.035,-2.972,-2.651,-1.837,-9.111,2020
Cabo Verde,General government gross debt,126.649,128.365,127.217,125.591,124.922,158.816,2020
Cabo Verde,Current account balance,-3.18,-3.828,-7.844,-5.223,-0.399,-15.895,2020
Canada,"Gross domestic product, constant prices",0.659,1.001,3.04,2.777,1.88,-5.233,2021
Canada,"Gross domestic product, current prices","1,556.51","1,528.00","1,649.27","1,725.30","1,742.02","1,645.42",2021
Canada,"Gross domestic product, deflator",102.807,103.582,106.239,107.957,109.55,110.371,2021
Canada,"Gross domestic product per capita, constant prices","47,853.97","47,831.31","48,688.11","49,352.63","49,560.84","46,405.46",2021
Canada,Total investment,23.822,22.761,23.55,23.377,23.069,22.257,2021
Canada,Gross national savings,20.326,19.673,20.748,21,21.034,20.471,2021
Canada,"Inflation, average consumer prices",126.567,128.375,130.425,133.383,135.983,136.958,2021
Canada,Volume of imports of goods and services,0.751,0.051,4.627,3.309,0.375,-10.839,2021
Canada,Volume of exports of goods and services,3.419,1.407,1.445,3.825,2.274,-9.71,2021
Canada,Unemployment rate,6.942,7.05,6.383,5.908,5.75,9.583,2021
Canada,Population,35.678,36.052,36.495,37.003,37.54,37.995,2021
Canada,General government revenue,39.957,40.3,40.343,41.022,40.658,41.647,2021
Canada,General government total expenditure,40.018,40.753,40.455,40.662,40.654,53.007,2021
Canada,General government net lending/borrowing,-0.062,-0.453,-0.112,0.36,0.004,-11.36,2021
Canada,General government gross debt,91.221,91.757,88.853,88.852,87.157,117.755,2021
Canada,Current account balance,-3.495,-3.088,-2.803,-2.377,-2.035,-1.786,2021
Chile,"Gross domestic product, constant prices",2.142,1.754,1.312,3.98,0.845,-6.063,2021
Chile,"Gross domestic product, current prices",242.494,249.266,276.227,295.27,278.435,252.501,2021
Chile,"Gross domestic product, deflator",89.81,93.899,98.446,100.014,102.568,111.537,2021
Chile,"Gross domestic product per capita, constant prices","23,523.15","23,677.85","23,660.30","24,166.09","23,916.59","22,061.27",2020
Chile,Total investment,25.616,23.75,22.634,24.183,25.042,21.598,2021
Chile,Gross national savings,22.794,21.168,19.871,19.612,19.812,19.924,2021
Chile,"Inflation, average consumer prices",92.159,95.651,97.739,100.006,102.257,105.37,2021
Chile,Volume of imports of goods and services,-0.959,1.193,4.479,8.617,-1.697,-12.809,2021
Chile,Volume of exports of goods and services,-2.359,0.625,-0.958,4.897,-2.505,-1.203,2021
Chile,Unemployment rate,6.328,6.685,6.965,7.377,7.223,10.77,2021
Chile,Population,17.971,18.167,18.419,18.751,19.107,19.458,2020
Chile,General government revenue,22.941,22.71,22.876,24.146,23.733,22.12,2021
Chile,General government total expenditure,25.03,25.371,25.505,25.629,26.46,29.272,2021
Chile,General government net lending/borrowing,-2.089,-2.661,-2.629,-1.483,-2.727,-7.151,2021
Chile,General government gross debt,17.376,21.104,23.663,25.812,28.289,32.58,2021
Chile,Current account balance,-2.795,-2.637,-2.782,-4.551,-5.191,-1.892,2021
China,"Gross domestic product, constant prices",7.018,6.851,6.947,6.751,5.951,2.244,2021
China,"Gross domestic product, current prices","11,113.51","11,226.90","12,265.33","13,841.81","14,340.60","14,862.56",2021
China,"Gross domestic product, deflator",100,100.876,104.818,108.47,110.754,112.142,2021
China,"Gross domestic product per capita, constant prices","12,535.04","13,306.59","14,151.79","15,050.18","15,893.00","16,226.10",2020
China,Total investment,43.033,42.655,43.172,43.961,43.068,42.857,2021
China,Gross national savings,45.669,44.359,44.71,44.136,43.786,44.531,2021
China,"Inflation, average consumer prices",100,102.003,103.592,105.772,108.843,111.447,2021
China,Volume of imports of goods and services,-0.438,4.387,7.291,7.263,-3.662,-0.967,2020
China,Volume of exports of goods and services,-2.156,0.679,7.95,3.991,0.445,2.121,2020
China,Unemployment rate,4.05,4.02,3.9,3.8,3.62,4.24,2020
China,Population,"1,383.26","1,392.32","1,400.11","1,405.41","1,410.08","1,412.12",2020
China,General government revenue,29.009,28.924,29.232,28.993,28.051,25.685,2020
China,General government total expenditure,31.552,32.316,32.635,33.277,34.153,36.378,2020
China,General government net lending/borrowing,-2.544,-3.392,-3.403,-4.283,-6.102,-10.693,2020
China,General government gross debt,41.489,48.238,51.733,53.845,57.244,68.063,2020
China,Current account balance,2.637,1.704,1.538,0.174,0.718,1.674,2021
Colombia,"Gross domestic product, constant prices",2.956,2.087,1.359,2.564,3.187,-7.048,2021
Colombia,"Gross domestic product, current prices",293.493,282.72,311.89,334.124,323.055,270.415,2021
Colombia,"Gross domestic product, deflator",100,105.148,110.546,115.665,120.295,121.927,2021
Colombia,"Gross domestic product per capita, constant prices","14,608.56","14,749.11","14,763.88","14,879.12","14,999.82","13,672.27",2021
Colombia,Total investment,23.774,23.167,21.599,21.195,21.381,19.244,2021
Colombia,Gross national savings,17.401,18.715,18.417,16.993,16.797,15.84,2021
Colombia,"Inflation, average consumer prices",85.57,91.993,95.958,99.065,102.553,105.142,2021
Colombia,Volume of imports of goods and services,-1.081,-3.541,1.019,5.805,7.344,-15.919,2021
Colombia,Volume of exports of goods and services,1.659,-0.209,2.568,0.643,3.084,-9.117,2021
Colombia,Unemployment rate,8.917,9.217,9.367,9.667,10.508,16.067,2021
Colombia,Population,46.314,46.83,47.419,48.258,49.396,50.372,2021
Colombia,General government revenue,27.757,27.72,26.825,29.99,29.397,26.584,2020
Colombia,General government total expenditure,31.277,29.994,29.32,34.658,32.879,33.56,2020
Colombia,General government net lending/borrowing,-3.52,-2.274,-2.496,-4.668,-3.482,-6.976,2020
Colombia,General government gross debt,50.419,49.796,49.436,53.584,52.401,65.658,2020
Colombia,Current account balance,-6.372,-4.452,-3.182,-4.202,-4.584,-3.405,2021
Costa Rica,"Gross domestic product, constant prices",3.652,4.204,4.158,2.616,2.418,-4.051,2021
Costa Rica,"Gross domestic product, current prices",56.442,58.847,60.517,62.422,64.412,62.144,2021
Costa Rica,"Gross domestic product, deflator",95.353,97.221,100,102.192,104.816,104.979,2021
Costa Rica,"Gross domestic product per capita, constant prices","18,593.60","19,145.00","19,711.65","20,002.17","20,271.55","19,249.23",2021
Costa Rica,Total investment,18.854,18.889,18.065,18.37,16.064,15.804,2021
Costa Rica,Gross national savings,15.45,16.752,14.448,15.378,14.781,14.662,2021
Costa Rica,"Inflation, average consumer prices",92.97,92.953,94.464,96.563,98.587,99.301,2021
Costa Rica,Volume of imports of goods and services,4.498,8.938,5.013,2.856,-2.297,-10.19,2021
Costa Rica,Volume of exports of goods and services,2.888,9.417,6.955,4.891,4.261,-10.939,2021
Costa Rica,Unemployment rate,9.604,9.541,9.293,11.951,12.417,19.98,2021
Costa Rica,Population,4.851,4.909,4.966,5.022,5.075,5.128,2021
Costa Rica,General government revenue,13.237,13.662,13.278,13.235,15.002,13.966,2021
Costa Rica,General government total expenditure,18.716,18.791,19.249,18.965,21.734,22.408,2021
Costa Rica,General government net lending/borrowing,-5.479,-5.129,-5.972,-5.73,-6.732,-8.442,2021
Costa Rica,General government gross debt,39.786,44.056,47.064,51.839,56.425,67.167,2021
Costa Rica,Current account balance,-3.404,-2.137,-3.617,-2.991,-1.283,-1.141,2021
Croatia,"Gross domestic product, constant prices",2.526,3.532,3.414,2.9,3.482,-8.1,2020
Croatia,"Gross domestic product, current prices",50.163,52.295,56.214,62.248,62.246,57.204,2020
Croatia,"Gross domestic product, deflator",100,99.926,101.088,103.12,105.099,104.964,2020
Croatia,"Gross domestic product per capita, constant prices","24,862.58","25,925.79","27,129.36","28,168.77","29,314.63","27,053.24",2020
Croatia,Total investment,20.355,20.734,21.694,23.178,22.788,23.909,2020
Croatia,Gross national savings,23.726,23.043,25.234,25.063,25.819,23.796,2020
Croatia,"Inflation, average consumer prices",100,98.875,99.992,101.492,102.275,102.383,2020
Croatia,Volume of imports of goods and services,9.379,6.479,8.44,7.501,6.528,-12.26,2020
Croatia,Volume of exports of goods and services,10.343,7.048,6.887,3.708,6.843,-22.726,2020
Croatia,Unemployment rate,17.067,14.958,12.433,9.858,7.758,9,2020
